,First Name,Last Name,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws
0,Tom,Aaron,,,70.3,,,5,3,0
1,Danny,Abbadi,The Assassin,180.0,70.3,,Orthodox,4,6,0
2,Nariman,Abbasov,Bayraktar,172.0,70.3,167.0,Orthodox,28,4,0
3,David,Abbott,Tank,182.0,120.2,,Switch,10,15,0
4,Hamdy,Abdelwahab,The Hammer,187.0,119.7,182.0,Southpaw,5,0,0
5,Shamil,Abdurakhimov,Abrek,190.0,106.6,193.0,Orthodox,20,8,0
6,Hiroyuki,Abe,Abe Ani,167.0,65.8,,Orthodox,8,15,3
7,Daichi,Abe,,180.0,77.1,180.0,Orthodox,6,2,0
8,Papy,Abedi,Makambo,180.0,83.9,,Southpaw,10,4,0
9,Ricardo,Abreu,Demente,180.0,83.9,,Orthodox,5,1,0
10,Klidson,Abreu,White Bear,182.0,93.0,187.0,Orthodox,15,4,0
12,Daniel,Acacio,,172.0,81.6,,Orthodox,30,18,0
13,John,Adajar,The Outlaw,175.0,77.1,190.0,Orthodox,6,2,0
14,Scott,Adams,,182.0,102.1,,Southpaw,8,1,0
15,Juan,Adams,The Kraken,195.0,120.2,203.0,Orthodox,5,3,0
16,Anthony,Adams,Sugafoot,185.0,83.9,193.0,Orthodox,8,2,0
17,Zarrukh,Adashev,The Lion,165.0,56.7,165.0,Southpaw,4,4,0
18,Israel,Adesanya,The Last Stylebender,193.0,83.9,203.0,Switch,24,2,0
19,Sam,Adkins,The Experience,190.0,102.1,,Orthodox,7,20,2
20,Nick,Agallar,,172.0,70.3,,Orthodox,24,6,0
21,Mariya,Agapova,Demonslayer,167.0,56.7,172.0,Southpaw,10,4,0
22,Marcelo,Aguiar,,177.0,77.1,,Orthodox,2,3,1
23,Fabio,Aguiar,,182.0,83.9,,,17,1,0
24,Edwin,Aguilar,Tigre,177.0,83.9,,,26,19,0
25,Jessica,Aguilar,Jag,160.0,52.2,160.0,Orthodox,20,8,0
26,Kevin,Aguilar,Angel of Death,170.0,70.3,185.0,Orthodox,17,5,0
27,Jesus,Aguilar,,162.0,56.7,157.0,Orthodox,8,2,0
28,Christian,Aguilera,The Beast,175.0,77.1,182.0,Switch,14,8,0
29,Nick,Aguirre,Slick,175.0,65.8,187.0,Southpaw,7,1,0
30,Mike,Aina,Iron,175.0,70.3,,Orthodox,14,6,1
31,Ashiek,Ajim,Peak Physique,172.0,61.2,180.0,Switch,6,2,0
32,Hitomi,Akano,Girlfight Monster,162.0,61.2,,Southpaw,18,10,0
33,Omari,Akhmedov,Wolverine,182.0,83.9,185.0,Orthodox,21,6,1
34,Yoshihiro,Akiyama,,177.0,77.1,190.0,Orthodox,14,6,0
35,Rostem,Akman,,177.0,77.1,182.0,Switch,6,2,0
36,Razak,Al-Hassan,,187.0,93.0,,Orthodox,13,5,0
37,Abdul-Kareem,Al-Selwady,Pride of Palestine,,70.3,,,14,3,0
38,Mostapha,Al-Turk,,187.0,111.1,195.0,Orthodox,6,6,0
39,Herdem,Alacabek,,187.0,93.0,190.0,Orthodox,5,1,0
40,Javi,Alanis,,167.0,61.2,,,0,4,0
41,,Alatengheili,The Mongolian Knight,165.0,61.2,167.0,Orthodox,16,8,2
42,Amir,Albazi,The Prince,165.0,56.7,172.0,Orthodox,17,1,0
43,Brett,Albee,,,102.1,,,3,2,0
44,John,Albert,Prince,172.0,61.2,172.0,Orthodox,6,5,0
45,Junior,Albini,Baby,190.0,119.7,187.0,Orthodox,14,6,0
46,Wes,Albritton,,177.0,85.3,,Orthodox,0,1,0
47,Aleksandra,Albu,Stitch,157.0,52.2,160.0,Orthodox,3,2,0
48,Israel,Albuquerque,,,83.9,,Orthodox,0,3,0
50,Iuri,Alcantara,Marajo,175.0,61.2,180.0,Southpaw,35,10,0
51,Ildemar,Alcantara,Marajo,187.0,83.9,198.0,Orthodox,21,11,0
52,Alfonso,Alcarez,,160.0,65.8,,,1,3,1
53,Gilbert,Aldana,El Peligro,185.0,113.4,,Orthodox,6,2,0
54,Irene,Aldana,,175.0,61.2,172.0,Orthodox,14,7,0
55,Hector,Aldana,,180.0,77.1,182.0,Orthodox,4,3,0
56,Jose,Alday,Pochito,170.0,61.2,172.0,Orthodox,14,6,1
57,Jose,Aldo,,170.0,61.2,177.0,Orthodox,31,8,0
58,JJ,Aldrich,,165.0,56.7,170.0,Southpaw,11,6,0
59,Irina,Alekseeva,Russian Ronda,172.0,61.2,170.0,Orthodox,5,1,0
60,Talita,Alencar,,,52.2,,,4,0,0
61,Jim,Alers,The Beast,175.0,65.8,180.0,Orthodox,13,3,0
62,John,Alessio,The Natural,177.0,70.3,182.0,Orthodox,35,17,0
63,Houston,Alexander,The Assassin,182.0,93.0,182.0,Orthodox,17,15,1
64,Kenneth,Alexander,The Machine,175.0,70.3,,Orthodox,7,6,0
65,Lucas,Alexander,The Lion,180.0,65.8,185.0,Orthodox,8,3,0
66,Marcio,Alexandre Junior,Lyoto,182.0,83.9,190.0,Southpaw,17,4,0
67,Olaf,Alfonso,,187.0,77.1,,Orthodox,8,12,0
68,Pablo,Alfonso,The Hurricane,172.0,65.8,,,9,7,0
70,Bill,Algeo,Senor Perfecto,182.0,65.8,185.0,Switch,17,7,0
71,Royce,Alger,,177.0,90.3,,Orthodox,3,2,0
72,Amir,Aliakbari,,190.0,113.4,,,10,1,0
73,Sultan,Aliev,,180.0,77.1,187.0,Orthodox,15,3,0
74,Nurullo,Aliev,Tajik Eagle,177.0,70.3,182.0,Orthodox,9,0,0
75,Ikram,Aliskerov,,182.0,83.9,193.0,Southpaw,14,1,0
76,Leon,Aliu,The Albanian Lion,182.0,83.9,187.0,Orthodox,10,2,0
77,John,Allan,,185.0,93.0,190.0,Orthodox,13,7,0
78,George,Allen,,187.0,93.0,,Open Stance,13,19,2
79,Arnold,Allen,Almighty,172.0,65.8,177.0,Southpaw,19,2,0
80,Brendan,Allen,All In,187.0,83.9,190.0,Orthodox,21,5,0
81,Ben,Alloway,Blanco,180.0,77.1,193.0,Orthodox,18,8,0
82,Assu,Almabayev,Zulfikar,,56.7,,,17,2,0
83,Ricardo,Almeida,Big Dog,182.0,77.1,187.0,Orthodox,13,5,0
84,Magno,Almeida,,182.0,70.3,,,10,3,0
85,Thomas,Almeida,Thominhas,170.0,65.8,177.0,Southpaw,22,5,0
86,Ericka,Almeida,,167.0,52.2,,Orthodox,7,3,0
87,Estefani,Almeida,,162.0,56.7,,Orthodox,7,3,0
88,Jailton,Almeida,Malhadinho,190.0,93.0,200.0,Orthodox,19,2,0
89,Lucas,Almeida,,180.0,65.8,180.0,Orthodox,14,1,0
90,Cesar,Almeida,Cesinha,,83.9,,,3,0,0
91,Mauricio,Alonso,,187.0,77.1,,,13,7,0
92,Sarah,Alpar,Too Sweet,162.0,61.2,160.0,Southpaw,9,6,0
93,Ali,AlQaisi,The Royal Fighter,167.0,61.2,172.0,Orthodox,8,5,0
94,Rico,Altamirano,,177.0,77.1,,,4,3,0
95,Victor,Altamirano,El Magnifico,172.0,56.7,177.0,Switch,12,3,0
96,Mike,Altman,,177.0,83.9,,Orthodox,1,4,0
97,Patricia,Alujas,El Angel,,52.2,,,9,2,0
98,Sean,Alvarez,,182.0,106.6,,Orthodox,4,3,0
99,Eddie,Alvarez,,175.0,70.3,175.0,Orthodox,29,6,0
100,Jaime,Alvarez,,172.0,56.7,175.0,Orthodox,6,1,0
101,Joel,Alvarez,El Fenomeno,190.0,70.3,195.0,Orthodox,19,3,0
102,Thiago,Alves,Pitbull,175.0,77.1,177.0,Orthodox,23,15,0
