,First Name,Last Name,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws
0,Tom,Aaron,,--,155 lbs.,--,,5,3,0
1,Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0
2,Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0
3,David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0
4,Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0,0
5,Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0
6,Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3
7,Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0
8,Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0
9,Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0
10,Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0
11,Cyborg,Abreu,,--,--,--,,0,0,0
12,Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0
13,John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0
14,Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0
15,Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0
16,Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0
17,Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0
18,Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,2,0
19,Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2
20,Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0
21,Mariya,Agapova,Demonslayer,"5' 6""",125 lbs.,"68.0""",Southpaw,10,4,0
22,Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1
23,Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0
24,Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0
25,Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0
26,Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0
27,Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,8,2,0
28,Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0
29,Nick,Aguirre,Slick,"5' 9""",145 lbs.,"74.0""",Southpaw,7,1,0
30,Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1
31,Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0
32,Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0
33,Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1
34,Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0
35,Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0
36,Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0
37,Abdul-Kareem,Al-Selwady,Pride of Palestine,--,155 lbs.,--,,14,3,0
38,Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0
39,Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0
40,Javi,Alanis,,"5' 6""",135 lbs.,--,,0,4,0
41,,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,16,8,2
42,Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,17,1,0
43,Brett,Albee,,--,225 lbs.,--,,3,2,0
44,John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0
45,Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0
46,Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0
47,Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0
48,Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0
49,Juan,Alcain,,--,--,--,,1,2,0
