,Event,Date,Winner,Fighter 1,Fighter 2,F1 Knockdown,F2 Knockdown,F1 Stike,F2 Strike,F1 Takedown,F2 Takedown,F1 Submission,F2 Submission,Weightclass,Result,Method,Round,Time
0,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Jared Cannonier,Jared Cannonier,Marvin Vettori,0,0,241,153,4,1,0,0,Middleweight,U-DEC,U-DEC,5,5:00
1,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Arman Tsarukyan,Arman Tsarukyan,Joaquim Silva,0,0,80,23,4,0,0,0,Lightweight,KO/TKO,Punches,3,3:25
2,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Armen Petrosyan,Armen Petrosyan,Christian Leroy Duncan,0,0,89,59,1,0,0,0,Middleweight,U-DEC,U-DEC,3,5:00
3,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Pat Sabatini,Pat Sabatini,Lucas Almeida,0,0,27,2,2,0,1,0,Featherweight,SUB,ArmTriangle,2,1:48
4,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Manuel Torres,Manuel Torres,Nikolas Motta,1,0,13,7,0,0,0,0,Lightweight,KO/TKO,Elbow,1,1:50
5,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Nicolas Dalby,Nicolas Dalby,Muslim Salikhov,0,0,86,57,2,2,0,0,Welterweight,U-DEC,U-DEC,3,5:00
6,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Alessandro Costa,Alessandro Costa,Jimmy Flick,1,0,65,14,0,0,0,0,Flyweight,KO/TKO,Elbows,2,1:03
7,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Kyung Ho Kang,Kyung Ho Kang,Cristian Quinonez,1,0,22,13,1,0,1,0,Bantamweight,SUB,RearNakedChoke,1,2:25
8,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Carlos Hernandez,Carlos Hernandez,Denys Bondar,0,0,102,76,2,2,0,0,Flyweight,U-DEC,U-DEC,3,4:59
9,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Tereza Bleda,Tereza Bleda,Gabriella Fernandes,0,0,57,23,3,0,0,0,Women's Flyweight,U-DEC,U-DEC,3,5:00
10,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",,Dan Argueta,Ronnie Lawrence,0,0,4,1,1,0,2,0,Bantamweight,Overturned,Overturned,1,2:20
11,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023",Modestas Bukauskas,Modestas Bukauskas,Zac Pauga,0,0,56,67,0,1,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
12,UFC 289: Nunes vs. Aldana,"June 10, 2023",Amanda Nunes,Amanda Nunes,Irene Aldana,0,0,142,41,6,0,0,0,Women's Bantamweight,U-DEC,U-DEC,5,5:00
13,UFC 289: Nunes vs. Aldana,"June 10, 2023",Charles Oliveira,Charles Oliveira,Beneil Dariush,1,0,26,12,0,0,0,0,Lightweight,KO/TKO,Punches,1,4:10
14,UFC 289: Nunes vs. Aldana,"June 10, 2023",Mike Malott,Mike Malott,Adam Fugitt,1,0,19,9,2,0,1,0,Welterweight,SUB,GuillotineChoke,2,1:06
15,UFC 289: Nunes vs. Aldana,"June 10, 2023",Dan Ige,Dan Ige,Nate Landwehr,1,0,88,74,0,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
16,UFC 289: Nunes vs. Aldana,"June 10, 2023",Marc-Andre Barriault,Marc-Andre Barriault,Eryk Anders,1,0,95,83,0,1,0,0,Middleweight,U-DEC,U-DEC,3,5:00
17,UFC 289: Nunes vs. Aldana,"June 10, 2023",,Nassourdine Imavov,Chris Curtis,0,0,57,26,3,0,1,0,Middleweight,CNC,CNC,2,3:04
18,UFC 289: Nunes vs. Aldana,"June 10, 2023",Jasmine Jasudavicius,Jasmine Jasudavicius,Miranda Maverick,0,0,67,63,1,0,0,0,Women's Flyweight,U-DEC,U-DEC,3,5:00
19,UFC 289: Nunes vs. Aldana,"June 10, 2023",Aiemann Zahabi,Aiemann Zahabi,Aoriqileng,1,0,5,5,0,0,0,0,Bantamweight,KO/TKO,Punch,1,1:04
20,UFC 289: Nunes vs. Aldana,"June 10, 2023",Kyle Nelson,Kyle Nelson,Blake Bilder,0,0,59,45,0,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
21,UFC 289: Nunes vs. Aldana,"June 10, 2023",Steve Erceg,Steve Erceg,David Dvorak,0,0,54,53,3,1,1,0,Flyweight,U-DEC,U-DEC,3,5:00
