,Event,Date,Winner,Loser,Knockdown # W,Knockdown # L,Stike # W,Strike # L,Takedown # W,Takedown # L,Submission # W,Submission # L,Weightclass,Result,Method,Round,Time
0,UFC 289: Nunes vs. Aldana,"June 10, 2023",Amanda Nunes,Irene Aldana,0,0,142,41,6,0,0,0,Women's Bantamweight,U-DEC,U-DEC,5,5:00
1,UFC 289: Nunes vs. Aldana,"June 10, 2023",Charles Oliveira,Beneil Dariush,1,0,26,12,0,0,0,0,Lightweight,KO/TKO,Punches,1,4:10
2,UFC 289: Nunes vs. Aldana,"June 10, 2023",Mike Malott,Adam Fugitt,1,0,19,9,2,0,1,0,Welterweight,SUB,GuillotineChoke,2,1:06
3,UFC 289: Nunes vs. Aldana,"June 10, 2023",Dan Ige,Nate Landwehr,1,0,88,74,0,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
4,UFC 289: Nunes vs. Aldana,"June 10, 2023",Marc-Andre Barriault,Eryk Anders,1,0,95,83,0,1,0,0,Middleweight,U-DEC,U-DEC,3,5:00
5,UFC 289: Nunes vs. Aldana,"June 10, 2023",,Chris Curtis,0,0,57,26,3,0,1,0,Middleweight,CNC,CNC,2,3:04
6,UFC 289: Nunes vs. Aldana,"June 10, 2023",Jasmine Jasudavicius,Miranda Maverick,0,0,67,63,1,0,0,0,Women's Flyweight,U-DEC,U-DEC,3,5:00
7,UFC 289: Nunes vs. Aldana,"June 10, 2023",Aiemann Zahabi,Aoriqileng,1,0,5,5,0,0,0,0,Bantamweight,KO/TKO,Punch,1,1:04
8,UFC 289: Nunes vs. Aldana,"June 10, 2023",Kyle Nelson,Blake Bilder,0,0,59,45,0,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
9,UFC 289: Nunes vs. Aldana,"June 10, 2023",Steve Erceg,David Dvorak,0,0,54,53,3,1,1,0,Flyweight,U-DEC,U-DEC,3,5:00
10,UFC 289: Nunes vs. Aldana,"June 10, 2023",Diana Belbita,Maria Oliveira,0,0,106,64,1,2,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
11,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Amir Albazi,Kai Kara-France,0,0,43,99,1,2,1,0,Flyweight,S-DEC,S-DEC,5,5:00
12,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Alex Caceres,Daniel Pineda,0,0,60,27,1,3,0,1,Featherweight,U-DEC,U-DEC,3,5:00
13,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Jim Miller,Jesse Butler,1,0,3,1,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:23
14,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Tim Elliott,Victor Altamirano,0,0,28,19,6,1,0,0,Flyweight,U-DEC,U-DEC,3,5:00
15,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Karine Silva,Ketlen Souza,0,0,3,0,1,0,1,0,Women's Flyweight,SUB,Other-Lock,1,1:45
16,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Elizeu Zaleski dos Santos,Abubakar Nurmagomedov,0,0,42,29,0,1,0,0,Welterweight,S-DEC,S-DEC,3,5:00
17,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Daniel Santos,Johnny Munoz,0,0,50,18,3,1,0,1,Bantamweight,U-DEC,U-DEC,3,5:00
18,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Don'Tale Mayes,Andrei Arlovski,1,0,25,24,0,0,0,0,Heavyweight,KO/TKO,Punch,2,3:17
19,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",John Castaneda,Muin Gafurov,1,0,40,61,3,0,0,0,Bantamweight,U-DEC,U-DEC,3,5:00
20,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Muhammad Naimov,Jamie Mullarkey,1,0,28,39,0,3,0,0,Lightweight,KO/TKO,Punch,2,2:59
21,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Elise Reed,Jinh Yu Frey,0,0,53,28,0,3,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
22,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Da'Mon Blackshear,Luan Lacerda,0,0,66,28,1,1,0,1,Bantamweight,KO/TKO,Punches,2,3:54
23,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023",Philipe Lins,Maxim Grishin,0,0,45,41,1,0,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
24,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Mackenzie Dern,Angela Hill,1,0,126,66,3,0,0,0,Women's Strawweight,U-DEC,U-DEC,5,5:00
25,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Anthony Hernandez,Edmen Shahbazyan,0,0,63,30,6,1,4,1,Middleweight,KO/TKO,Elbows,3,1:01
26,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Loopy Godinez,Emily Ducote,0,0,132,112,1,0,0,0,Catch Weight,U-DEC,U-DEC,3,5:00
27,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Joaquin Buckley,Andre Fialho,1,0,26,22,2,0,0,0,Welterweight,KO/TKO,OKick,2,4:15
28,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Diego Ferreira,Michael Johnson,1,0,30,32,0,0,0,0,Lightweight,KO/TKO,Punch,2,1:50
29,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Viacheslav Borshchev,Maheshate,3,0,85,32,0,0,0,0,Lightweight,KO/TKO,Punch,2,2:37
30,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Karolina Kowalkiewicz,Vanessa Demopoulos,0,0,139,68,0,0,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
31,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Gilbert Urbina,Orion Cosce,1,0,51,16,2,0,1,0,Welterweight,KO/TKO,OKick,2,2:55
32,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Rodrigo Nascimento,Ilir Latifi,0,0,68,49,0,2,0,0,Heavyweight,S-DEC,S-DEC,3,5:00
33,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Chase Hooper,Nick Fiore,0,0,149,51,1,4,1,0,Lightweight,U-DEC,U-DEC,3,5:00
34,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Natalia Silva,Victoria Leonardo,1,0,20,7,0,0,0,0,Women's Flyweight,KO/TKO,Punch,1,2:58
35,UFC Fight Night: Dern vs. Hill,"May 20, 2023",Themba Gorimbo,Takashi Sato,1,0,33,30,3,2,0,0,Welterweight,U-DEC,U-DEC,3,5:00
36,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Jailton Almeida,Jairzinho Rozenstruik,0,0,4,0,1,0,1,0,Heavyweight,SUB,RearNakedChoke,1,3:43
37,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Johnny Walker,Anthony Smith,0,0,92,38,1,1,0,0,Light Heavyweight,U-DEC,U-DEC,3,5:00
38,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Ian Garry,Daniel Rodriguez,1,0,23,7,0,0,0,0,Welterweight,KO/TKO,OKick,1,2:57
39,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Carlos Ulberg,Ihor Potieria,1,0,13,5,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,2:09
40,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Alex Morono,Tim Means,0,0,33,40,0,2,1,0,Welterweight,SUB,GuillotineChoke,2,2:09
41,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Matt Brown,Court McGee,1,0,11,8,0,1,0,0,Welterweight,KO/TKO,Punch,1,4:09
42,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Karl Williams,Chase Sherman,0,0,70,54,1,0,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
43,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Douglas Silva de Andrade,Cody Stamann,0,1,61,54,0,1,0,0,Catch Weight,U-DEC,U-DEC,3,5:00
44,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Mandy Bohm,Ji Yeon Kim,0,0,17,10,2,0,1,1,Women's Flyweight,S-DEC,S-DEC,3,1:55
45,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Bryan Battle,Gabe Green,1,0,3,6,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:14
46,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023",Tainara Lisboa,Jessica-Rose Clark,0,0,42,26,1,1,1,0,Women's Bantamweight,SUB,RearNakedChoke,3,4:20
47,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Aljamain Sterling,Henry Cejudo,0,0,135,99,4,3,0,0,Bantamweight,S-DEC,S-DEC,5,5:00
48,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Belal Muhammad,Gilbert Burns,0,0,132,81,0,0,0,0,Welterweight,U-DEC,U-DEC,5,5:00
49,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Yan Xiaonan,Jessica Andrade,1,0,26,12,0,0,0,0,Women's Strawweight,KO/TKO,Punch,1,2:20
50,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Movsar Evloev,Diego Lopes,0,0,88,37,4,0,0,4,Featherweight,U-DEC,U-DEC,3,5:00
51,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Charles Jourdain,Kron Gracie,0,0,80,32,0,0,0,0,Featherweight,U-DEC,U-DEC,3,5:00
52,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Matt Frevola,Drew Dober,1,0,35,20,0,0,0,0,Lightweight,KO/TKO,Punch,1,4:08
53,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Kennedy Nzechukwu,Devin Clark,0,0,62,36,0,1,1,0,Light Heavyweight,SUB,GuillotineChoke,2,2:28
54,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Khaos Williams,Rolando Bedoya,0,0,130,149,0,0,0,0,Welterweight,S-DEC,S-DEC,3,5:00
55,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Virna Jandiroba,Marina Rodriguez,0,0,27,33,3,0,0,0,Women's Strawweight,U-DEC,U-DEC,3,5:00
56,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Parker Porter,Braxton Smith,0,0,25,14,0,0,0,0,Heavyweight,KO/TKO,Punches,1,2:10
57,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Ikram Aliskerov,Phil Hawes,1,0,20,17,0,0,0,0,Middleweight,KO/TKO,Punches,1,2:10
58,UFC 288: Sterling vs. Cejudo,"May 06, 2023",Claudio Ribeiro,Joseph Holmes,1,0,37,17,1,1,0,0,Middleweight,KO/TKO,Punches,2,3:21
59,UFC Fight Night: Song vs. Simon,"April 29, 2023",Song Yadong,Ricky Simon,2,0,105,60,0,2,0,0,Bantamweight,KO/TKO,Punch,5,1:10
60,UFC Fight Night: Song vs. Simon,"April 29, 2023",Caio Borralho,Michal Oleksiejczuk,0,0,34,30,3,0,1,0,Middleweight,SUB,RearNakedChoke,2,2:49
61,UFC Fight Night: Song vs. Simon,"April 29, 2023",Rodolfo Vieira,Cody Brundage,0,1,10,20,1,0,2,1,Middleweight,SUB,ArmTriangle,2,1:28
62,UFC Fight Night: Song vs. Simon,"April 29, 2023",Fernando Padilla,Julian Erosa,1,0,20,15,0,0,0,0,Featherweight,KO/TKO,Punches,1,1:41
63,UFC Fight Night: Song vs. Simon,"April 29, 2023",Marcos Rogerio de Lima,Waldo Cortes-Acosta,0,0,59,82,3,0,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
64,UFC Fight Night: Song vs. Simon,"April 29, 2023",Trey Waters,Josh Quinlan,0,0,104,50,1,1,0,0,Welterweight,U-DEC,U-DEC,3,5:00
65,UFC Fight Night: Song vs. Simon,"April 29, 2023",Martin Buday,Jake Collier,0,0,98,94,0,0,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
66,UFC Fight Night: Song vs. Simon,"April 29, 2023",Cody Durden,Charles Johnson,0,0,56,52,11,0,0,1,Flyweight,U-DEC,U-DEC,3,5:00
67,UFC Fight Night: Song vs. Simon,"April 29, 2023",Irina Alekseeva,Stephanie Egger,0,0,18,9,0,0,1,0,Women's Bantamweight,SUB,Kneebar,1,2:11
68,UFC Fight Night: Song vs. Simon,"April 29, 2023",Marcus McGhee,Journey Newson,1,0,25,13,0,0,1,0,Catch Weight,SUB,RearNakedChoke,2,2:03
69,UFC Fight Night: Song vs. Simon,"April 29, 2023",Jamey-Lyn Horth,Hailey Cowan,0,0,76,63,0,2,0,0,Women's Bantamweight,U-DEC,U-DEC,3,5:00
70,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Sergei Pavlovich,Curtis Blaydes,1,0,36,14,0,0,0,0,Heavyweight,KO/TKO,Punches,1,3:08
71,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Bruno Silva,Brad Tavares,1,0,23,15,0,0,0,0,Middleweight,KO/TKO,Punch,1,3:35
72,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",,Jared Gordon,0,0,23,17,0,0,0,0,Lightweight,CNC,CNC,1,4:35
73,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Iasmin Lucindo,Brogan Walker,0,0,53,29,4,0,0,0,Women's Flyweight,U-DEC,U-DEC,3,5:00
74,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Jeremiah Wells,Matthew Semelsberger,0,2,36,20,6,0,0,0,Welterweight,S-DEC,S-DEC,3,5:00
75,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Christos Giagos,Ricky Glenn,1,0,9,2,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:35
76,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Montel Jackson,Rani Yahya,1,0,9,7,0,0,0,0,Bantamweight,KO/TKO,Punch,1,3:42
77,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Norma Dumont,Karol Rosa,0,1,35,33,1,0,0,0,Women's Featherweight,U-DEC,U-DEC,3,5:00
78,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Mohammed Usman,Junior Tafa,0,0,7,22,2,0,0,0,Heavyweight,U-DEC,U-DEC,3,5:00
79,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",William Gomis,Francis Marshall,0,0,27,15,0,2,0,2,Featherweight,S-DEC,S-DEC,3,5:00
80,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023",Brady Hiestand,Batgerel Danaa,0,1,45,41,3,1,0,0,Bantamweight,KO/TKO,Punches,3,4:21
